ensembl_transcript_id,exon_chrom_start,exon_chrom_end,ensembl_exon_id,cds_start,cds_end,phase,end_phase,genomic_coding_start,genomic_coding_end,strand
ENST00000313777,49812996,49813292,ENSE00001251873,1,111,-1,0,49812996,49813106,-1
ENST00000313777,49812615,49812736,ENSE00003529157,112,233,0,2,49812615,49812736,-1
ENST00000313777,49812251,49812335,ENSE00003510926,234,318,2,0,49812251,49812335,-1
ENST00000313777,49811631,49811699,ENSE00003661417,319,387,0,0,49811631,49811699,-1
ENST00000313777,49811363,49811467,ENSE00003532065,388,492,0,0,49811363,49811467,-1
ENST00000313777,49809378,49809575,ENSE00003551816,493,690,0,0,49809378,49809575,-1
ENST00000313777,49809163,49809258,ENSE00003636849,691,786,0,0,49809163,49809258,-1
ENST00000313777,49808717,49808823,ENSE00003587933,787,893,0,2,49808717,49808823,-1
ENST00000313777,49808574,49808638,ENSE00003516956,894,958,2,1,49808574,49808638,-1
ENST00000313777,49808414,49808488,ENSE00003539309,959,1033,1,1,49808414,49808488,-1
ENST00000313777,49806866,49807374,ENSE00002186940,1034,1257,1,-1,49807151,49807374,-1
ENST00000525130,49812615,49812736,ENSE00003529157,112,233,0,2,49812615,49812736,-1
ENST00000525130,49812996,49813190,ENSE00002188952,1,111,-1,0,49812996,49813106,-1
ENST00000525130,49811631,49811699,ENSE00003551160,234,261,2,-1,49811672,49811699,-1
ENST00000525130,49811363,49811467,ENSE00003574557,NA,NA,-1,-1,NA,NA,-1
ENST00000525130,49809378,49809575,ENSE00003552756,NA,NA,-1,-1,NA,NA,-1
ENST00000525130,49809163,49809258,ENSE00003627713,NA,NA,-1,-1,NA,NA,-1
ENST00000525130,49808717,49808823,ENSE00003469612,NA,NA,-1,-1,NA,NA,-1
ENST00000525130,49808574,49808638,ENSE00003510620,NA,NA,-1,-1,NA,NA,-1
ENST00000525130,49808414,49808488,ENSE00003488105,NA,NA,-1,-1,NA,NA,-1
ENST00000525130,49806869,49807374,ENSE00002198714,NA,NA,-1,-1,NA,NA,-1
ENST00000529634,49808574,49808639,ENSE00003137513,1,66,1,1,49808574,49808639,-1
ENST00000529634,49808414,49808491,ENSE00003544719,67,144,1,1,49808414,49808491,-1
ENST00000529634,49808115,49808159,ENSE00003019035,145,170,1,-1,49808134,49808159,-1
ENST00000529634,49806885,49807374,ENSE00002146105,NA,NA,-1,-1,NA,NA,-1
ENST00000528094,49811631,49811699,ENSE00003661417,211,279,0,0,49811631,49811699,-1
ENST00000528094,49811363,49811467,ENSE00003532065,280,384,0,0,49811363,49811467,-1
ENST00000528094,49809378,49809575,ENSE00003551816,385,582,0,0,49809378,49809575,-1
