chromosome_name,exon_chrom_start,exon_chrom_end,strand,ensembl_gene_id,ensembl_transcript_id,gene_biotype,transcript_biotype,external_gene_name,rank,ensembl_exon_id
19,49812996,49813292,-1,ENSG00000010361,ENST00000313777,protein_coding,protein_coding,FUZ,1,ENSE00001251873
19,49812615,49812736,-1,ENSG00000010361,ENST00000313777,protein_coding,protein_coding,FUZ,2,ENSE00003529157
19,49812251,49812335,-1,ENSG00000010361,ENST00000313777,protein_coding,protein_coding,FUZ,3,ENSE00003510926
19,49811631,49811699,-1,ENSG00000010361,ENST00000313777,protein_coding,protein_coding,FUZ,4,ENSE00003661417
19,49811363,49811467,-1,ENSG00000010361,ENST00000313777,protein_coding,protein_coding,FUZ,5,ENSE00003532065
19,49809378,49809575,-1,ENSG00000010361,ENST00000313777,protein_coding,protein_coding,FUZ,6,ENSE00003551816
19,49809163,49809258,-1,ENSG00000010361,ENST00000313777,protein_coding,protein_coding,FUZ,7,ENSE00003636849
19,49808717,49808823,-1,ENSG00000010361,ENST00000313777,protein_coding,protein_coding,FUZ,8,ENSE00003587933
19,49808574,49808638,-1,ENSG00000010361,ENST00000313777,protein_coding,protein_coding,FUZ,9,ENSE00003516956
19,49808414,49808488,-1,ENSG00000010361,ENST00000313777,protein_coding,protein_coding,FUZ,10,ENSE00003539309
19,49806866,49807374,-1,ENSG00000010361,ENST00000313777,protein_coding,protein_coding,FUZ,11,ENSE00002186940
19,49812615,49812736,-1,ENSG00000010361,ENST00000525130,protein_coding,nonsense_mediated_decay,FUZ,2,ENSE00003529157
19,49812996,49813190,-1,ENSG00000010361,ENST00000525130,protein_coding,nonsense_mediated_decay,FUZ,1,ENSE00002188952
19,49811631,49811699,-1,ENSG00000010361,ENST00000525130,protein_coding,nonsense_mediated_decay,FUZ,3,ENSE00003551160
19,49811363,49811467,-1,ENSG00000010361,ENST00000525130,protein_coding,nonsense_mediated_decay,FUZ,4,ENSE00003574557
19,49809378,49809575,-1,ENSG00000010361,ENST00000525130,protein_coding,nonsense_mediated_decay,FUZ,5,ENSE00003552756
19,49809163,49809258,-1,ENSG00000010361,ENST00000525130,protein_coding,nonsense_mediated_decay,FUZ,6,ENSE00003627713
19,49808717,49808823,-1,ENSG00000010361,ENST00000525130,protein_coding,nonsense_mediated_decay,FUZ,7,ENSE00003469612
19,49808574,49808638,-1,ENSG00000010361,ENST00000525130,protein_coding,nonsense_mediated_decay,FUZ,8,ENSE00003510620
19,49808414,49808488,-1,ENSG00000010361,ENST00000525130,protein_coding,nonsense_mediated_decay,FUZ,9,ENSE00003488105
19,49806869,49807374,-1,ENSG00000010361,ENST00000525130,protein_coding,nonsense_mediated_decay,FUZ,10,ENSE00002198714
19,49808574,49808639,-1,ENSG00000010361,ENST00000529634,protein_coding,protein_coding,FUZ,1,ENSE00003137513
19,49808414,49808491,-1,ENSG00000010361,ENST00000529634,protein_coding,protein_coding,FUZ,2,ENSE00003544719
