transcriptID,chr,strand,start,stop,rownum
ENST00000326197,chr1,-,41027202,41160898,1537069
ENST00000372595,chr1,-,41027202,41163017,1537095
ENST00000337495,chr1,-,41027202,41242110,1537110
ENST00000372596,chr1,-,41027202,41242116,1537128
ENST00000372597,chr1,-,41027202,41242116,1537142
ENST00000695335,chr1,-,41027202,41242306,1537160
ENST00000472037,chr1,-,41027204,41037452,1537163
ENST00000695336,chr1,-,41027222,41186202,1537177
ENST00000456518,chr1,-,41028192,41159871,1537186
ENST00000460215,chr1,-,41028584,41045836,1537188
ENST00000498793,chr1,-,41028642,41046669,1537192
ENST00000695337,chr1,-,41028712,41159868,1537205
ENST00000489421,chr1,-,41037362,41048760,1537209
ENST00000482530,chr1,-,41041422,41070631,1537212
ENST00000488592,chr1,-,41185984,41242154,1537216
ENST00000567504,chr16,+,2025356,2036389,934617
ENST00000424542,chr16,+,2026902,2039026,934621
ENST00000432365,chr16,+,2026928,2038489,934632
ENST00000563587,chr16,+,2029527,2038165,934638
ENST00000561844,chr16,+,2029754,2038024,934644
ENST00000565086,chr16,+,2032812,2036823,934646
ENST00000565855,chr16,+,2033264,2037980,934654
ENST00000566198,chr16,+,2033271,2038421,934660
ENST00000564033,chr16,+,2035981,2038128,934662
ENST00000543245,chr17,+,7217125,7225266,948917
ENST00000322910,chr17,+,7219844,7225265,948938
ENST00000582356,chr17,+,7219860,7220922,948957
ENST00000583312,chr17,+,7219860,7221988,948967
ENST00000350303,chr17,+,7219863,7225264,948986
ENST00000578269,chr17,+,7219878,7220676,948988
ENST00000579286,chr17,+,7219878,7222081,948996
ENST00000580263,chr17,+,7219895,7220780,948998
ENST00000582056,chr17,+,7219895,7221136,949003
ENST00000577857,chr17,+,7219895,7222079,949008
ENST00000584103,chr17,+,7219903,7221021,949014
ENST00000577191,chr17,+,7219908,7222464,949022
ENST00000578421,chr17,+,7219926,7220739,949024
ENST00000581562,chr17,+,7219938,7221998,949031
ENST00000356839,chr17,+,7219938,7225266,949052
ENST00000579886,chr17,+,7219948,7221956,949055
ENST00000577433,chr17,+,7220192,7221655,949061
ENST00000582166,chr17,+,7220438,7221629,949064
ENST00000580365,chr17,+,7220758,7222092,949069
ENST00000581378,chr17,+,7220790,7222822,949074
ENST00000583760,chr17,+,7221279,7222146,949077
ENST00000582379,chr17,+,7221946,7223237,949080
ENST00000578824,chr17,+,7222640,7223847,949083
ENST00000583858,chr17,+,7222760,7225213,949090
ENST00000585203,chr17,+,7222848,7224813,949101
ENST00000579425,chr17,+,7223032,7225247,949110
ENST00000578579,chr17,+,7223107,7223830,949113
ENST00000542255,chr17,+,7223198,7225266,949123
ENST00000579546,chr17,+,7223219,7224976,949131
ENST00000578711,chr17,+,7223505,7225236,949134
ENST00000583850,chr17,+,7223687,7225261,949141
ENST00000583074,chr17,+,7223825,7224825,949147
ENST00000579894,chr17,+,7223925,7224516,949150
ENST00000579391,chr17,+,7224104,7224611,949153
ENST00000578319,chr17,+,7224217,7225266,949157
ENST00000578809,chr17,+,7224217,7225266,949164
ENST00000582450,chr17,+,7224281,7224660,949165
ENST00000583848,chr17,+,7224489,7225266,949168
ENST00000578033,chr17,+,7224633,7225266,949172
ENST00000313777,chr19,-,49806866,49813292,458721
ENST00000525130,chr19,-,49806869,49813190,458733
ENST00000529634,chr19,-,49806885,49808639,458742
ENST00000528094,chr19,-,49806890,49813175,458753
ENST00000533418,chr19,-,49806890,49813249,458765
ENST00000525370,chr19,-,49806893,49813156,458774
ENST00000377092,chr19,-,49806920,49813273,458784
ENST00000534138,chr19,-,49808123,49808825,458789
ENST00000527973,chr19,-,49808619,49809865,458794
ENST00000528043,chr19,-,49809395,49813249,458798
ENST00000531017,chr19,-,49811036,49813309,458803
ENST00000527585,chr19,-,49811363,49813286,458810
ENST00000534008,chr19,-,49811365,49813241,458814
ENST00000529302,chr19,-,49811381,49817376,458817
ENST00000526575,chr19,-,49811384,49813178,458824
ENST00000525800,chr19,-,49811431,49813235,458828
ENST00000527111,chr19,-,49812251,49813299,458832
ENST00000526435,chr19,-,49812280,49813284,458834
ENST00000397410,chr19,-,15380050,15418988,739245
ENST00000609519,chr19,-,15380050,15418988,739259
ENST00000599137,chr19,-,15380050,15419020,739281
ENST00000595465,chr19,-,15380050,15419026,739303
ENST00000679638,chr19,-,15380050,15419044,739314
ENST00000594594,chr19,-,15380050,15419121,739332
ENST00000593845,chr19,-,15380051,15418988,739342
ENST00000681170,chr19,-,15380066,15418969,739361
ENST00000596213,chr19,-,15380066,15419022,739374
ENST00000680649,chr19,-,15380066,15419030,739389
ENST00000595879,chr19,-,15380073,15418969,739401
ENST00000680703,chr19,-,15380073,15419044,739415
ENST00000680017,chr19,-,15380073,15419044,739429
ENST00000680363,chr19,-,15380086,15418988,739432
ENST00000681405,chr19,-,15380086,15419026,739455
ENST00000680957,chr19,-,15380086,15419026,739469
ENST00000680865,chr19,-,15380086,15419026,739483
ENST00000680303,chr19,-,15380086,15419044,739499
ENST00000679634,chr19,-,15380086,15419044,739513
ENST00000681744,chr19,-,15380086,15419044,739526
ENST00000680803,chr19,-,15380086,15419044,739542
ENST00000681459,chr19,-,15380086,15419044,739556
ENST00000680323,chr19,-,15380086,15419044,739567
ENST00000680774,chr19,-,15380086,15419044,739580
ENST00000680302,chr19,-,15380086,15419044,739593
ENST00000680103,chr19,-,15380086,15419044,739608
ENST00000680642,chr19,-,15380086,15419044,739624
ENST00000595087,chr19,-,15380526,15419026,739634
ENST00000600065,chr19,-,15380864,15419044,739652
ENST00000596750,chr19,-,15398563,15400352,739654
ENST00000594893,chr19,-,15399935,15418968,739662
ENST00000598292,chr19,-,15400400,15401276,739665
ENST00000595136,chr19,-,15400968,15417698,739671
ENST00000599488,chr19,-,15401381,15417678,739678
ENST00000597994,chr19,-,15401431,15404285,739683
ENST00000596195,chr19,-,15401445,15418988,739685
ENST00000600247,chr19,-,15401453,15419141,739691
ENST00000595067,chr19,-,15401540,15418988,739694
ENST00000601147,chr19,-,15403319,15418988,739698
ENST00000445755,chr19,+,17933015,17943985,817220
ENST00000602080,chr19,+,17933023,17936992,817225
ENST00000597436,chr19,+,17935096,17943991,817230
ENST00000596123,chr19,+,17936251,17943321,817233
ENST00000592199,chr19,+,12995475,13098796,954277
ENST00000397661,chr19,+,12995608,13096201,954295
ENST00000590027,chr19,+,13012188,13025520,954298
ENST00000585382,chr19,+,13012207,13081835,954300
ENST00000587760,chr19,+,13023991,13094758,954316
ENST00000585575,chr19,+,13024032,13094649,954327
ENST00000360105,chr19,+,13024580,13098796,954336
ENST00000588228,chr19,+,13024581,13094755,954346
ENST00000676441,chr19,+,13024581,13094755,954359
ENST00000586797,chr19,+,13024585,13094684,954363
ENST00000591028,chr19,+,13024613,13025495,954371
ENST00000586873,chr19,+,13024627,13025510,954373
ENST00000358552,chr19,+,13024888,13094746,954382
ENST00000622520,chr19,+,13024888,13094752,954390
ENST00000587260,chr19,+,13024939,13094770,954399
ENST00000693124,chr19,+,13025176,13094687,954406
ENST00000588680,chr19,+,13070003,13074019,954410
ENST00000443227,chr2,+,201116154,201164162,1313687
ENST00000309955,chr2,+,201116164,201176687,1313702
ENST00000341222,chr2,+,201116167,201141598,1313710
ENST00000341582,chr2,+,201116207,201164279,1313718
ENST00000342795,chr2,+,201116239,201154576,1313727
ENST00000395148,chr2,+,201116407,201139877,1313732
ENST00000441224,chr2,+,201116837,201133134,1313736
ENST00000433445,chr2,+,201117039,201130059,1313737
ENST00000423241,chr2,+,201118491,201164110,1313747
ENST00000490965,chr2,+,201118523,201119177,1313749
ENST00000439154,chr2,+,201118664,201160455,1313755
ENST00000425030,chr2,+,201122477,201130053,1313761
ENST00000417748,chr2,+,201129329,201133102,1313764
ENST00000440180,chr2,+,201129503,201141602,1313769
ENST00000461820,chr2,+,201129643,201136281,1313771
ENST00000457277,chr2,+,201129866,201163559,1313782
ENST00000461422,chr2,+,201129977,201140661,1313786
ENST00000494258,chr2,+,201132779,201140735,1313790
ENST00000470178,chr2,+,201132872,201141407,1313794
ENST00000462763,chr2,+,201132953,201149835,1313801
ENST00000479953,chr2,+,201132984,201163157,1313808
ENST00000460961,chr2,+,201133030,201136414,1313810
ENST00000474842,chr2,+,201140186,201163973,1313814
ENST00000470664,chr2,+,201148951,201150355,1313818
ENST00000394609,chr2,-,54972187,55010449,1528857
ENST00000405240,chr2,-,54972189,55046886,1528869
ENST00000357376,chr2,-,54972189,55049198,1528881
ENST00000337526,chr2,-,54972189,55050451,1528888
ENST00000317610,chr2,-,54972189,55050544,1528897
ENST00000357732,chr2,-,54972189,55050544,1528905
ENST00000394611,chr2,-,54972189,55050598,1528914
ENST00000404909,chr2,-,54972189,55050828,1528923
ENST00000486085,chr2,-,54972585,54987633,1528926
ENST00000491592,chr2,-,54972796,54974019,1528928
ENST00000485749,chr2,-,54972797,54974191,1528930
ENST00000438462,chr2,-,54973513,55049640,1528937
ENST00000427710,chr2,-,55027207,55112621,1528940
ENST00000461004,chr2,-,55056483,55112567,1528944
ENST00000675519,chr20,-,63488013,63499239,644521
ENST00000706948,chr20,-,63488014,63499083,644530
ENST00000217182,chr20,-,63488014,63499083,644538
ENST00000298049,chr20,-,63488014,63499083,644546
ENST00000706949,chr20,-,63488015,63499083,644555
ENST00000645586,chr20,-,63490081,63498748,644565
ENST00000642899,chr20,-,63494905,63499083,644567
ENST00000645357,chr20,-,63494968,63499177,644572
ENST00000646335,chr20,-,63495862,63499184,644575
ENST00000643976,chr20,-,63497454,63499185,644578
