geneID,transcriptID,geneName,exonID,classification,rownum,chr,start,stop,strand,type,gpc,tpc
ENSG00000101210,ENST00000217182,EEF1A2,ENSE00003822954,first,644538,chr20,63499058,63499083,-,exon,protein_coding,protein_coding
ENSG00000101210,ENST00000217182,EEF1A2,ENSE00000856590,internal,644537,chr20,63497620,63497834,-,exon,protein_coding,protein_coding
ENSG00000101210,ENST00000217182,EEF1A2,ENSE00002475952,internal,644539,chr20,63495856,63496035,-,exon,protein_coding,protein_coding
ENSG00000101210,ENST00000217182,EEF1A2,ENSE00000663463,internal,644540,chr20,63494805,63495101,-,exon,protein_coding,protein_coding
ENSG00000101210,ENST00000217182,EEF1A2,ENSE00000663462,internal,644541,chr20,63493137,63493287,-,exon,protein_coding,protein_coding
ENSG00000101210,ENST00000217182,EEF1A2,ENSE00000663461,internal,644542,chr20,63490479,63490735,-,exon,protein_coding,protein_coding
ENSG00000101210,ENST00000217182,EEF1A2,ENSE00000663460,internal,644543,chr20,63488918,63489152,-,exon,protein_coding,protein_coding
ENSG00000101210,ENST00000217182,EEF1A2,ENSE00003997564,last,644544,chr20,63488014,63488425,-,exon,protein_coding,protein_coding
ENSG00000101210,ENST00000298049,EEF1A2,ENSE00003822954,first,644546,chr20,63499058,63499083,-,exon,protein_coding,non_stop_decay
ENSG00000101210,ENST00000298049,EEF1A2,ENSE00000856590,internal,644545,chr20,63497620,63497834,-,exon,protein_coding,non_stop_decay
ENSG00000101210,ENST00000298049,EEF1A2,ENSE00002475952,internal,644547,chr20,63495856,63496035,-,exon,protein_coding,non_stop_decay
ENSG00000101210,ENST00000298049,EEF1A2,ENSE00000663463,internal,644548,chr20,63494805,63495101,-,exon,protein_coding,non_stop_decay
ENSG00000101210,ENST00000298049,EEF1A2,ENSE00000663462,internal,644549,chr20,63493137,63493287,-,exon,protein_coding,non_stop_decay
ENSG00000101210,ENST00000298049,EEF1A2,ENSE00000663461,internal,644550,chr20,63490479,63490735,-,exon,protein_coding,non_stop_decay
ENSG00000101210,ENST00000298049,EEF1A2,ENSE00000663460,internal,644551,chr20,63488918,63489152,-,exon,protein_coding,non_stop_decay
ENSG00000101210,ENST00000298049,EEF1A2,ENSE00003831203,internal,644552,chr20,63488340,63488425,-,exon,protein_coding,non_stop_decay
ENSG00000101210,ENST00000298049,EEF1A2,ENSE00003823419,last,644553,chr20,63488014,63488152,-,exon,protein_coding,non_stop_decay
ENSG00000003402,ENST00000309955,CFLAR,ENSE00001717236,first,1313702,chr2,201116164,201116481,+,exon,protein_coding,protein_coding
ENSG00000003402,ENST00000309955,CFLAR,ENSE00002684918,internal,1313703,chr2,201129729,201130146,+,exon,protein_coding,protein_coding
ENSG00000003402,ENST00000309955,CFLAR,ENSE00003790546,internal,1313704,chr2,201133029,201133134,+,exon,protein_coding,protein_coding
ENSG00000003402,ENST00000309955,CFLAR,ENSE00003682105,internal,1313696,chr2,201135972,201136107,+,exon,protein_coding,protein_coding
ENSG00000003402,ENST00000309955,CFLAR,ENSE00003055759,internal,1313697,chr2,201140357,201140439,+,exon,protein_coding,protein_coding
ENSG00000003402,ENST00000309955,CFLAR,ENSE00003640229,internal,1313698,chr2,201145378,201145432,+,exon,protein_coding,protein_coding
ENSG00000003402,ENST00000309955,CFLAR,ENSE00003651940,internal,1313699,chr2,201149003,201149052,+,exon,protein_coding,protein_coding
ENSG00000003402,ENST00000309955,CFLAR,ENSE00003784075,internal,1313700,chr2,201149754,201149835,+,exon,protein_coding,protein_coding
ENSG00000003402,ENST00000309955,CFLAR,ENSE00003513466,internal,1313701,chr2,201160432,201160942,+,exon,protein_coding,protein_coding
ENSG00000003402,ENST00000309955,CFLAR,ENSE00001931152,last,1313705,chr2,201163835,201176687,+,exon,protein_coding,protein_coding
ENSG00000010361,ENST00000313777,FUZ,ENSE00001251873,first,458721,chr19,49812996,49813292,-,exon,protein_coding,protein_coding
ENSG00000010361,ENST00000313777,FUZ,ENSE00003529157,internal,458722,chr19,49812615,49812736,-,exon,protein_coding,protein_coding
ENSG00000010361,ENST00000313777,FUZ,ENSE00003510926,internal,458723,chr19,49812251,49812335,-,exon,protein_coding,protein_coding
ENSG00000010361,ENST00000313777,FUZ,ENSE00003661417,internal,458724,chr19,49811631,49811699,-,exon,protein_coding,protein_coding
ENSG00000010361,ENST00000313777,FUZ,ENSE00003532065,internal,458725,chr19,49811363,49811467,-,exon,protein_coding,protein_coding
ENSG00000010361,ENST00000313777,FUZ,ENSE00003551816,internal,458726,chr19,49809378,49809575,-,exon,protein_coding,protein_coding
ENSG00000010361,ENST00000313777,FUZ,ENSE00003636849,internal,458727,chr19,49809163,49809258,-,exon,protein_coding,protein_coding
ENSG00000010361,ENST00000313777,FUZ,ENSE00003587933,internal,458728,chr19,49808717,49808823,-,exon,protein_coding,protein_coding
ENSG00000010361,ENST00000313777,FUZ,ENSE00003516956,internal,458729,chr19,49808574,49808638,-,exon,protein_coding,protein_coding
ENSG00000010361,ENST00000313777,FUZ,ENSE00003539309,internal,458730,chr19,49808414,49808488,-,exon,protein_coding,protein_coding
ENSG00000010361,ENST00000313777,FUZ,ENSE00002186940,last,458731,chr19,49806866,49807374,-,exon,protein_coding,protein_coding
ENSG00000115310,ENST00000317610,RTN4,ENSE00001330411,first,1528897,chr2,55049745,55050544,-,exon,protein_coding,protein_coding
ENSG00000115310,ENST00000317610,RTN4,ENSE00001330486,internal,1528891,chr2,54987491,54987698,-,exon,protein_coding,protein_coding
ENSG00000115310,ENST00000317610,RTN4,ENSE00003671987,internal,1528892,chr2,54982515,54982653,-,exon,protein_coding,protein_coding
ENSG00000115310,ENST00000317610,RTN4,ENSE00000809957,internal,1528893,chr2,54974695,54974764,-,exon,protein_coding,protein_coding
ENSG00000115310,ENST00000317610,RTN4,ENSE00000809956,internal,1528894,chr2,54973821,54973867,-,exon,protein_coding,protein_coding
ENSG00000115310,ENST00000317610,RTN4,ENSE00003581476,internal,1528895,chr2,54973563,54973621,-,exon,protein_coding,protein_coding
ENSG00000115310,ENST00000317610,RTN4,ENSE00001555275,last,1528896,chr2,54972189,54973198,-,exon,protein_coding,protein_coding
ENSG00000072778,ENST00000322910,ACADVL,ENSE00002717210,first,948938,chr17,7219844,7220197,+,exon,protein_coding,nonsense_mediated_decay
ENSG00000072778,ENST00000322910,ACADVL,ENSE00003504367,internal,948939,chr17,7220464,7220529,+,exon,protein_coding,nonsense_mediated_decay
ENSG00000072778,ENST00000322910,ACADVL,ENSE00003635942,internal,948940,chr17,7220604,7220676,+,exon,protein_coding,nonsense_mediated_decay
ENSG00000072778,ENST00000322910,ACADVL,ENSE00003523114,internal,948941,chr17,7220766,7220830,+,exon,protein_coding,nonsense_mediated_decay
ENSG00000072778,ENST00000322910,ACADVL,ENSE00003468317,internal,948942,chr17,7220924,7221058,+,exon,protein_coding,nonsense_mediated_decay
ENSG00000072778,ENST00000322910,ACADVL,ENSE00003517451,internal,948943,chr17,7221538,7221682,+,exon,protein_coding,nonsense_mediated_decay
ENSG00000072778,ENST00000322910,ACADVL,ENSE00003560642,internal,948944,chr17,7221952,7222081,+,exon,protein_coding,nonsense_mediated_decay
ENSG00000072778,ENST00000322910,ACADVL,ENSE00003571404,internal,948945,chr17,7222177,7222302,+,exon,protein_coding,nonsense_mediated_decay
ENSG00000072778,ENST00000322910,ACADVL,ENSE00003661851,internal,948946,chr17,7222667,7222865,+,exon,protein_coding,nonsense_mediated_decay
ENSG00000072778,ENST00000322910,ACADVL,ENSE00003631569,internal,948947,chr17,7223133,7223237,+,exon,protein_coding,nonsense_mediated_decay
ENSG00000072778,ENST00000322910,ACADVL,ENSE00003538015,internal,948948,chr17,7223644,7223730,+,exon,protein_coding,nonsense_mediated_decay
